"Mois";"libre";"Spécifique";"Jour";"Intitulé";"Rang";"Couleur";"Rang"
1;"A";;1;"Octave de la Nativité SOLENNITE DE LA SAINTE MERE DE DIEU, MARIE";"Solennité";"Blanc";3
1;"b";;2;"Sts. Basile et Grégoire de Naziance, évêques et docteurs de l'Église";"Mémoire obligatoire";"Blanc";10
1;"c";;3;"Très Saint Nom de Jésus";"Mémoire facultative";;12
1;"d";;4;;;;
1;"e";;5;;;;
1;"f";;6;"EPIPHANIE DU SEIGNEUR";"Solennité";"Blanc";2
1;"g";;7;"St Raymond de Penyafort, prêtre.";"Mémoire facultative";;12
1;"A";;8;;;;
1;"b";;9;;;;
1;"c";;10;;;;
1;"d";;11;;;;
1;"e";;13;"St Hilaire, évêque et docteur de l'Église.";"Mémoire facultative";;12
1;"f";;14;;;;
1;"g";;15;;;;
1;"A";;16;;;;
1;"b";;17;"St Antoine, abbé.";"Mémoire obligatoire";"Blanc";10
1;"c";;18;;;;
1;"d";;19;;;;
1;"e";;20;"St Fabien, pape et martyr.";"Mémoire facultative";;12
1;"f";;20;"St Sébastien, martyr.";"Mémoire facultative";;12
1;"g";;21;"St Agnès, vierge et martyre.";"Mémoire obligatoire";"Rouge";10
1;"A";;22;"St Vincent, diacre et martyr.";"Mémoire facultative";;12
1;"b";;23;;;;
1;"c";;24;"St François de Sales, évêque et docteur de l'Église.";"Mémoire obligatoire";"Blanc";10
1;"d";;25;"Conversion de Saint Paul, apôtre.";"Fête";"Blanc";7
1;"e";;26;"Sts Timothée et Tite, évêques.";"Mémoire obligatoire";"Blanc";10
1;"f";;27;"Ste Angèle Merici, vierge.";"Mémoire facultative";;12
1;"g";;28;"St Thomas d'Aquin, prêtre et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
1;"A";;29;;;;
1;"b";;30;;;;
1;"c";;31;"St Jean Bosco, prêtre.";"Mémoire obligatoire";"Blanc";10
2;"d";;1;;;;
