"Mois";"libre";"Spécifique";"Jour";"Intitulé";"Rang";"Couleur";"Rang";
1;;"FR";3;"Ste Geneviève, vierge";"Mémoire facultative";;12;
1;;"FR";15;"St Rémi, évêque";"Mémoire facultative";;12;
2;;"FR";18;"Ste Bernadette Soubirous, vierge";"Mémoire facultative";;12;
5;;"FR";19;"St Yves, prêtre";"Mémoire facultative";;12;
5;;"FR";30;"Ste Jeanne d’Arc, vierge";"Mémoire obligatoire";;11;"patronne secondaire de la France"
6;;"FR";2;"Sts Pothin, évêque, Blandine, vierge et leurs compagnons, martyrs";"Mémoire facultative";;12;
6;;"FR";4;"Ste Clotilde";"Mémoire facultative";;12;
8;;"FR";15;"ASSOMPTION DE LA BIENHEUREUSE VIERGE MARIE";"Solennité";;3;"Patronne principale de la France"
8;;"FR";26;"St Césaire d'Arles, évêque";"Mémoire facultative";;12;
10;;"FR";1;"Ste Thérèse de l’Enfant-Jésus, vierge et docteur de l'Église";"Mémoire obligatoire";"Blanc";11;"patronne secondaire de la France"
10;;"FR";25;"Dédicace des églises consacrées, dont la date n'est pas connue";"Solennité";;4;
