"IN";"Antiphona ad Introïtum";"Antienne d'Introït";"Entrance antiphon"
"GR";"Graduale";"Graduel";"Gradual"
"AL";"Allelúia ";"Alléluia";"Alleluia"
"TR";"Tractus";"Trait";"Tractus"
"SE";"Sequentia";"Séquence";"Sequence"
"OF";"Antiphona ad Offertorium";"Antienne d'offertoire";"Offertory antiphon"
"CO";"Antiphona ad Communionem";"Antienne de Communion";"Communion antiphon"
"AN";"Antiphona";"Antienne";"Antiphon"
"RE";"Responsorium";"Répons";"Response"
;"Memoria";"Mémoire";
;"Festum";"Fête";
;"Dominica";"dimanche";"Sunday"
;"Feria II";"lundi";"Monday"
;"Feria III";"mardi";"Tuesday"
;"Feria IV";"mercredi";"Wednesday"
;"Feria V";"jeudi";"Thursday"
;"Feria VI";"vendredi";"Friday"
;"Sabatto";"samedi";"Saturday"
;"Ianuarii";"janvier";"January"
;"Februarii";"février";"February"
;"Martii";"mars";"March"
;"Aprilii";"avril";"April"
;"Maii";"mai";"May"
;"Iunii";"juin";"June"
;"Iulii";"juillet";"July"
;"Augusti";"août";"August"
;"Septembri";"septembre";"September"
;"Octobri";"octobre";"October"
;"Novembri";"novembre";"November"
;"Decembri";"décembre";"December"
"IN_NATIVITATE_DOMINI";"IN NATIVITATE DOMINI";"NATIVITE DU SEIGNEUR";
"SANCTAE_FAMILIAE_IESU,_MARIAE_ET_IOSEPH";"SANCTÆ FAMILIÆ IESU, MARIÆ ET IOSEPH";"SAINTE FAMILLE DE JESUS, MARIE ET JOSEPH";
;"Infra octavam Nativitatis";"Dans l'octave de la Nativité";
;"Sollemnitas";"Sollennité";
;"Hebdomada II post Nativitatem";"II ème semaine après la Nativité";
;"Dominica II post Nativitatem";"II ème dimanche après la Nativité";
;"Hebdomada III post Nativitatem";"III ème semaine après la Nativité";
"IN_EPIPHANIA_DOMINI";"IN EPIPHANIA DOMINI";"EPIPHANIE DU SEIGNEUR";
;"IN BAPTISMATE DOMINI";"BAPTEME DU SEIGNEUR";
"DOMINICA_IN_PALMIS_DE_PASSIONE_DOMINI";"DOMINICA IN PALMIS DE PASSIONE DOMINI";"DIMANCHE DES RAMEAUX ET DE LA PASSION DU SEIGNEUR";
;"Tempus per annum ";"Temps dans l'année";
